Nutriente	Luz	RLT	RRT	TMS	RRV
Control	Alta	0.427615759	0.103687559	0.531303317	0.195156995
Control	Alta	0.457746829	0.207991288	0.665738117	0.312422081
Control	Alta	0.433720777	0.189851071	0.623571849	0.304457412
Control	Alta	0.408154958	0.21289141	0.621046368	0.342794711
Control	Alta	0.412512441	0.167966776	0.580479217	0.289358811
Control	Alta	0.322830757	0.1802421	0.503072857	0.3582823
Control	Alta	0.484758218	0.192850236	0.677608454	0.284604236
Control	Alta	0.375088325	0.191930686	0.567019011	0.338490743
Control	Baja	0.393741403	0.188851558	0.582592961	0.324156952
Control	Baja	0.296114262	0.218736883	0.514851145	0.424854612
Control	Baja	0.352668837	0.166606424	0.519275261	0.320844139
Control	Baja	0.330838441	0.187319783	0.518158224	0.361510779
Control	Baja	0.391532682	0.135986326	0.527519008	0.257784694
Control	Baja	0.381177495	0.139647927	0.520825421	0.268128092
Control	Baja	0.31899961	0.131960913	0.450960523	0.292621873
Control	Baja	0.313676492	0.161761983	0.475438475	0.340237469
N	Alta	0.611683272	0.58662525	1.198308521	0.48954442
N	Alta	0.68476125	0.450155866	1.134917116	0.396642063
N	Alta	0.598933466	0.483094124	1.08202759	0.44647117
N	Alta	0.56808728	0.506128342	1.074215622	0.471160847
N	Alta	0.524371158	0.483733888	1.008105047	0.479844724
N	Alta	0.753858643	0.526924715	1.280783358	0.411408153
N	Alta	0.632246584	0.554168265	1.186414849	0.467094849
N	Alta	0.682730191	0.508789588	1.191519779	0.427008932
N	Baja	0.47249519	0.535878322	1.008373512	0.5314284
N	Baja	0.414032916	0.400270973	0.814303889	0.491549873
N	Baja	0.483650021	0.494885781	0.978535802	0.505741108
N	Baja	0.537289571	0.404370097	0.941659668	0.429422763
N	Baja	0.495653631	0.332146579	0.82780021	0.401240027
N	Baja	0.619206596	0.349040604	0.9682472	0.360487078
N	Baja	0.430503985	0.426985951	0.857489936	0.497948644
N	Baja	0.4506742	0.44556888	0.896243081	0.497151822
P	Alta	0.584301652	0.507907189	1.092208841	0.465027539
P	Alta	0.618357292	0.504787382	1.123144674	0.449441104
P	Alta	0.544529496	0.580114899	1.124644395	0.515820736
P	Alta	0.590648373	0.430134771	1.020783144	0.421377228
P	Alta	0.587397933	0.382232169	0.969630102	0.394204108
P	Alta	0.644766853	0.55750794	1.202274793	0.463710911
P	Alta	0.639755843	0.582765967	1.22252181	0.476691673
P	Alta	0.604333094	0.519104917	1.123438012	0.462068144
P	Baja	0.611870774	0.493949044	1.105819818	0.446681309
P	Baja	0.502701152	0.44233763	0.945038782	0.468062939
P	Baja	0.517704074	0.380061712	0.897765787	0.42334172
P	Baja	0.558517835	0.392008989	0.950526824	0.412412337
P	Baja	0.504408199	0.357912881	0.86232108	0.415057557
P	Baja	0.473042791	0.462751505	0.935794296	0.49450131
P	Baja	0.4117585	0.389076556	0.800835056	0.485838567
P	Baja	0.482852917	0.409502998	0.892355914	0.458900973
NP	Alta	0.82006582	0.722105748	1.542171568	0.468239568
NP	Alta	0.751284211	0.73984357	1.491127781	0.496163762
NP	Alta	0.619691666	0.743712442	1.363404108	0.545482031
NP	Alta	0.806985281	0.794088213	1.601073494	0.495972369
NP	Alta	0.785218559	0.72717556	1.512394119	0.480810888
NP	Alta	0.710097438	0.730773572	1.44087101	0.507174874
NP	Alta	0.820355172	0.6691613	1.489516472	0.449247332
NP	Alta	0.62680712	0.654409226	1.281216346	0.510771837
NP	Baja	0.713853565	0.538247375	1.25210094	0.429875386
NP	Baja	0.676928313	0.536717054	1.213645366	0.44223549
NP	Baja	0.619339736	0.637480943	1.25682068	0.507217102
NP	Baja	0.711424661	0.548954454	1.260379116	0.435547088
NP	Baja	0.48148567	0.661488684	1.142974354	0.578743243
NP	Baja	0.592531661	0.591813167	1.184344828	0.49969667
NP	Baja	0.622284144	0.620754053	1.243038197	0.499384536
NP	Baja	0.64093447	0.589876037	1.230810507	0.479258207
